Model_ID,Category_Title,Brand_Title,Device_Title,Model_Title,Model_Image,Storage_Title,unlocked:great_condition,unlocked:noticeable_wears_and_tears,unlocked:cracked_glass_good_lcd,unlocked:broken_lcd,unlocked:doa,att:great_condition,att:noticeable_wears_and_tears,att:cracked_glass_good_lcd,att:broken_lcd,att:doa,verizon:great_condition,verizon:noticeable_wears_and_tears,verizon:cracked_glass_good_lcd,verizon:broken_lcd,verizon:doa,tmobile:great_condition,tmobile:noticeable_wears_and_tears,tmobile:cracked_glass_good_lcd,tmobile:broken_lcd,tmobile:doa,sprint:great_condition,sprint:noticeable_wears_and_tears,sprint:cracked_glass_good_lcd,sprint:broken_lcd,sprint:doa,other:great_condition,other:noticeable_wears_and_tears,other:cracked_glass_good_lcd,other:broken_lcd,other:doa,Meta_Title,Meta_Description,Meta_Keywords
7,Phones,Samsung,Samsung,"Galaxy S6 Edge Plus (G928i)",20181126041740.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phones,Samsung,Samsung,"Galaxy S6 Edge (G925)",20181126035228.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phones,Samsung,Samsung,"Galaxy S6 Edge (G925)",20181126035228.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phones,Samsung,Samsung,"Galaxy S6 Edge (G925)",20181126035228.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phones,Samsung,Samsung,"Galaxy S6  (G920i)",20181126041117.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phones,Samsung,Samsung,"Galaxy S6  (G920i)",20181126041117.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phones,Samsung,Samsung,"Galaxy S6  (G920i)",20181126041117.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Phones,Samsung,Samsung,"Galaxy S7  (G930F)",20181126041213.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Phones,Samsung,Samsung,"Galaxy S7  (G930F)",20181126041213.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Phones,Samsung,Samsung,"Galaxy S7 Duos (G930FD) 2SIM",20181127022506.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Phones,Samsung,Samsung,"Galaxy S6 Duos (G9200) 2SIM",20181127034426.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Phones,Samsung,Samsung,"Galaxy S7 Edge Duos G930FD 2SIM",20181127055052.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Phones,Samsung,Samsung,"Galaxy S7 Edge (G935F)",20181127060020.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Phones,Samsung,Samsung,"Galaxy S7 Edge (G935F)",20181127060020.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Phones,Samsung,Samsung,"Galaxy Alpha (G850F)",20181128023249.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Phones,Samsung,Samsung,"Galaxy A3 (A300)",20181128025801.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Phones,Samsung,Samsung,"Galaxy A3 (A310) 2016",20181128030243.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Phones,Samsung,Samsung,"Galaxy A3 (A320) 2017",20181128030705.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Phones,Samsung,Samsung,"Galaxy A5 (A510F) 2016",20181128033954.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Phones,Apple,iPhone,"iPhone 4  (A1332)",,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Phones,Apple,iPhone,"iPhone 4  (A1332)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Phones,Apple,iPhone,"iPhone 4  (A1332)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Phones,Samsung,Samsung,"Galaxy A5 (A520) 2017",20181204045932.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Phones,Samsung,Samsung,"Galaxy A7 (A710) 2016",20181204051017.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Phones,Samsung,Samsung,"Galaxy A7 (A720) 2017",20181204051609.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Phones,Samsung,Samsung,"Galaxy E5 (E500)",20181204052218.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Phones,Samsung,Samsung,"Galaxy J1 (J100-J110)",20181204055816.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Phones,Samsung,Samsung,"Galaxy J1 (J120) 2016",20181204060259.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Phones,Samsung,Samsung,"Galaxy J1 Mini (J105)",20181204060737.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Phones,Apple,iPhone,"iPhone 4s  (A1387)",,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Phones,Apple,iPhone,"iPhone 4s  (A1387)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Phones,Apple,iPhone,"iPhone 4s  (A1387)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Phones,Apple,iPhone,"iPhone 4s  (A1387)",,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Phones,Apple,iPhone,"iPhone 5 (A1429)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Phones,Apple,iPhone,"iPhone 5 (A1429)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Phones,Apple,iPhone,"iPhone 5 (A1429)",,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Phones,Apple,iPhone,"iPhone 5C  (A1529)",,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Phones,Apple,iPhone,"iPhone 5C  (A1529)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Phones,Apple,iPhone,"iPhone 5C  (A1529)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Phones,Apple,iPhone,"iPhone 5s  (A1530)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Phones,Apple,iPhone,"iPhone 5s  (A1530)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Phones,Apple,iPhone,"iPhone 5s  (A1530)",,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Phones,Apple,iPhone,"iPhone SE  (A1723)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Phones,Apple,iPhone,"iPhone SE  (A1723)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Phones,Apple,iPhone,"iPhone SE  (A1723)",,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Phones,Apple,iPhone,"iPhone SE  (A1723)",,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Phones,Apple,iPhone,"iPhone 6 (A1586)",20181206072427.jpg,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Phones,Apple,iPhone,"iPhone 6 (A1586)",20181206072427.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Phones,Apple,iPhone,"iPhone 6 (A1586)",20181206072427.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Phones,Apple,iPhone,"iPhone 6 (A1586)",20181206072427.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Phones,Apple,iPhone,"iPhone 6 Plus  (A1524)",,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Phones,Apple,iPhone,"iPhone 6 Plus  (A1524)",,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Phones,Apple,iPhone,"iPhone 6 Plus  (A1524)",,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Phones,Apple,iPhone,"iPhone 6 Plus  (A1524)",,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Phones,Apple,iPhone,"iPhone XS  (A2097)",20181206075420.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Phones,Apple,iPhone,"iPhone XS  (A2097)",20181206075420.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Phones,Apple,iPhone,"iPhone XS  (A2097)",20181206075420.jpg,512GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Phones,Apple,iPhone,"iPhone X  (A1901)",20181206075433.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Phones,Apple,iPhone,"iPhone X  (A1901)",20181206075433.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Phones,Apple,iPhone,"iPhone XS MAX (A2101)",20181207070813.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Phones,Apple,iPhone,"iPhone XS MAX (A2101)",20181207070813.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Phones,Apple,iPhone,"iPhone XS MAX (A2101)",20181207070813.jpg,512GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Phones,Apple,iPhone,"iPhone XR  (A1901)",20181208002326.jpg,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Phones,Apple,iPhone,"iPhone XR  (A1901)",20181208002326.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Phones,Apple,iPhone,"iPhone XR  (A1901)",20181208002326.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Phones,Apple,iPhone,"iPhone XR  (A1901)",20181208002326.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Phones,Apple,iPhone,"iPhone XR  (A1901)",20181208002326.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Phones,blackberry,"Sell my Blackberry","9900 Bold Touch",20181208162941.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Phones,blackberry,"Sell my Blackberry","9930 Bold Touch",20181208163346.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Phones,blackberry,"Sell my Blackberry","Priv -5.4""",20181208164000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Phones,blackberry,"Sell my Blackberry",KEYONE,20181208165431.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Phones,blackberry,"Sell my Blackberry","KEY 2 (BBF100) -4.5""",20181208172204.png,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Phones,blackberry,"Sell my Blackberry","KEY 2 (BBF100) -4.5""",20181208172204.png,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Phones,blackberry,"Sell my Blackberry","BlackBerry Q5 -3.1""",20181208174110.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Phones,blackberry,"Sell my Blackberry","Q10 -3.1""",20181208180950.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Phones,blackberry,"Sell my Blackberry","Q20 Classic   -3.5""",20181208181453.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Phones,blackberry,"Sell my Blackberry","Z10 -4.2""",20181208182056.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Phones,blackberry,"Sell my Blackberry","Z3 / Leap -5.0""",20181208182637.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Phones,blackberry,"Sell my Blackberry","Passport -4.5""",20181208183102.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Phones,blackberry,"Sell my Blackberry","Z30 -5.0""",20181208183427.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Phones,Samsung,Samsung,"Galaxy J3 2016 (J320F)",20181208192515.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Phones,Samsung,Samsung,"Galaxy J2 (J200)",20181208202533.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Phones,Samsung,Samsung,"Galaxy J5 (J500)",20181208203313.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Phones,Samsung,Samsung,"Galaxy J5 2016  (J510)",20181208204153.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Phones,Samsung,Samsung,"Galaxy J5  Prime (J570)",20181208204729.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Phones,Samsung,Samsung,"Galaxy J7 2016 (J610F)",20181208220714.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Phones,Samsung,Samsung,"Galaxy J7  (J710F) 2016",20181208220350.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Phones,Samsung,Samsung,"Galaxy J7 Pro (J730F) 2017",20181208221140.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Phones,Samsung,Samsung,"Galaxy Mega (i9150-52)",20181208221917.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Phones,Samsung,Samsung,"Galaxy Mega (i9200-05)",20181208222112.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Phones,Samsung,Samsung,"Galaxy S2 (i9100-i9105)",20181208223648.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Phones,Samsung,Samsung,"Galaxy S3 3G (i9300)",20181208224140.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Phones,Samsung,Samsung,"Galaxy S3 4G (i9305)",20181208224345.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Phones,Samsung,Samsung,"Galaxy S3 mini (i8190-i8200)",20181208224718.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Phones,Samsung,Samsung,"Galaxy S4 (i9500-i9507)",20181208231944.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Phones,Samsung,Samsung,"Galaxy S4 Active (i9295)",20181208232025.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Phones,Samsung,Samsung,"Galaxy S4 Mini (i9190-i9197)",20181208232102.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Phones,Samsung,Samsung,"Galaxy S4 Mini Duos (i9192) 2Sims",20181208232125.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Phones,Samsung,Samsung,"Galaxy S4 Zoom (C101-05)",20181208232147.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Phones,Samsung,Samsung,"Galaxy S5 (SM-G900i)",20181208232218.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Phones,Samsung,Samsung,"Galaxy S5 Mini (G800)",20181208232255.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Phones,Samsung,Samsung,"Galaxy Note 8  DUALSIM (N950FD)",20181210044335.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Phones,Samsung,Samsung,"Galaxy Note 1  (N7000)",20181210060101.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Phones,Samsung,Samsung,"Galaxy Note 2 (N7100)",20181210065525.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Phones,Samsung,Samsung,"Galaxy Note 2 (N7105)",20181210065813.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Phones,Samsung,Samsung,"Galaxy Note 3 (N9000)",20181210070220.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Phones,Samsung,Samsung,"Galaxy Note 3 (N9005- 07)",20181210070426.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Phones,Samsung,Samsung,"Galaxy Note 4 (N910G)",20181210072909.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Phones,Samsung,Samsung,"Galaxy Note Edge (N915g)",20181210072242.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Phones,Samsung,Samsung,"Galaxy Note 5 (N920i)",20181210073714.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Phones,Samsung,Samsung,"Galaxy Note 5 (N920i)",20181210073714.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Phones,Samsung,Samsung,"Galaxy Note 5 (N920i)",20181210073714.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Phones,Samsung,Samsung,"Galaxy Note 8  (N950F)",20181210074659.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Phones,Samsung,Samsung,"Galaxy Note 8  (N950F)",20181210074659.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Phones,Samsung,Samsung,"Galaxy Note 8  (N950F)",20181210074659.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Phones,Samsung,Samsung,"Galaxy Note 9  DUALSIM (N950FD)  -",20181210075546.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Phones,Samsung,Samsung,"Galaxy Note 9  (N960F)",20181210080135.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Phones,Samsung,Samsung,"Galaxy Note 9  (N960F)",20181210080135.jpg,512GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 1",20181212073619.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 1",20181212073619.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 1 XL",20181212074825.jpg,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 1 XL",20181212074825.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 2",20181212080010.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 2",20181212080010.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 2 XL",20181212080710.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google Pixel 2 XL",20181212080710.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google PIXEL 3",20181212081933.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google PIXEL 3",20181212081933.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google PIXEL 3 XL",20181212082617.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Phones,GOOGLE-PIXEL,"Sell my Pixel","Google PIXEL 3 XL",20181212082617.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Phones,Samsung,Samsung,"Galaxy S8 Duos (G950FD)",20181213053718.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Phones,Samsung,Samsung,"Galaxy S8 (G950F)",20181213054602.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Phones,Samsung,Samsung,"Galaxy S8+ Plus Duos (G955FD)",20181213062524.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Phones,Samsung,Samsung,"Galaxy S8+ Plus (G955F)",20181213063333.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Phones,Samsung,Samsung,"Galaxy S9 Duos (G960FD)",20181213064255.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Phones,Samsung,Samsung,"Galaxy S9  (G960F)",20181213065205.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Phones,Samsung,Samsung,"Galaxy S9  (G960F)",20181213065205.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Phones,Samsung,Samsung,"Galaxy S9  (G960F)",20181213065205.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Phones,Samsung,Samsung,"Galaxy S9+ Plus Duos (G965FD)",20181213070140.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Phones,Samsung,Samsung,"Galaxy S9+ Plus (G965F)",20181213071217.jpg,64GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Phones,Samsung,Samsung,"Galaxy S9+ Plus (G965F)",20181213071217.jpg,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Phones,Samsung,Samsung,"Galaxy S9+ Plus (G965F)",20181213071217.jpg,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Phones,Samsung,Samsung,"Galaxy Core Prime (G360)",20181213071750.jpg,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Phones,Samsung,Samsung,"Galaxy Core 2 (i8260-2)",20181213072829.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Phones,,"Sell my OPPO","OPPO A37",20181216031510.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Phones,,"Sell my OPPO","OPPO A57",20181216031743.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Phones,,"Sell my OPPO","OPPO A71",20181216032032.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Phones,,"Sell my OPPO","OPPO A73",20181216032440.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Phones,,"Sell my OPPO","OPPO A77",20181216032951.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Phones,,"Sell my OPPO","OPPO F1s (A1601)",20181216033742.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Phones,,"Sell my OPPO","OPPO F1 Plus | OPPO R9",20181216034152.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Phones,,"Sell my OPPO","OPPO R11S",20181216034939.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
